generation,best,mean,worst
559,77.492495,79.821039,127.862798
560,77.492495,79.569264,110.841928
561,77.492495,79.287381,118.005517
562,77.492495,77.881166,99.049441
563,77.492495,80.390072,129.508801
564,77.492495,80.845736,131.820171
565,77.492495,80.077098,131.820171
566,77.492495,78.967590,105.931727
567,77.492495,79.027970,126.618868
568,77.492495,79.433374,133.329423
569,77.492495,78.237381,100.248364
570,77.492495,79.740648,127.862798
571,77.492495,80.533722,125.394280
572,77.492495,80.442466,133.329423
573,77.492495,79.287360,118.005517
574,77.492495,79.611894,124.751714
575,77.492495,78.783817,112.501436
576,77.492495,80.070251,109.907939
577,77.492495,79.050304,117.559636
578,77.492495,81.216370,125.957430
579,77.492495,79.525577,119.292758
580,77.492495,79.861882,122.071227
581,77.492495,79.658503,131.820171
582,77.492495,80.389433,124.751714
583,77.492495,78.605187,108.306248
584,77.492495,80.271255,118.005517
585,77.492495,79.731766,121.226669
586,77.492495,79.746477,120.042316
587,77.492495,80.246379,117.559636
588,77.492495,78.377703,103.849015
589,77.492495,79.201370,128.711414
590,77.492495,78.488901,124.751714
591,77.492495,78.188302,127.862798
592,77.492495,79.604260,117.559636
593,77.492495,78.018129,108.875405
594,77.492495,79.275014,119.939074
595,77.492495,79.554241,127.862798
596,77.492495,79.643610,137.088029
597,77.492495,78.339943,100.248364
598,77.492495,79.540244,124.751714
599,77.492495,79.719243,119.939074
600,77.492495,79.889815,117.911588
601,77.492495,81.425366,126.618868
602,77.492495,79.764780,129.508801
603,77.492495,79.469688,122.071227
604,77.492495,80.578242,133.329423
605,77.492495,78.398390,121.226669
606,77.492495,79.346917,124.751714
607,77.492495,80.279632,131.820171
608,77.492495,78.708117,119.939074
609,77.492495,79.137192,121.226669
610,77.492495,79.152981,116.183749
611,77.492495,78.323840,120.125024
612,77.492495,78.890029,122.071227
613,77.492495,79.081379,125.394280
614,77.492495,79.858224,133.329423
615,77.492495,78.564225,114.689740
616,77.492495,79.857673,133.329423
617,77.492495,79.430979,126.618868
618,77.492495,79.936491,137.088029
619,77.492495,79.129127,122.363841
620,77.492495,79.010393,116.209460
621,77.492495,81.622138,131.820171
622,77.492495,80.708356,128.657920
623,77.492495,78.629370,118.005517
624,77.492495,80.169059,128.657920
625,77.492495,79.470895,117.911588
626,77.492495,78.501641,113.601791
627,77.492495,79.876500,133.329423
628,77.492495,79.924800,129.508801
629,77.492495,79.040042,129.508801
630,77.492495,79.603117,131.820171
631,77.492495,79.445300,117.911588
632,77.492495,79.040056,114.689740
633,77.492495,80.542974,126.618868
634,77.492495,78.997272,112.925449
635,77.492495,79.697765,126.618868
636,77.492495,80.154033,119.939074
637,77.492495,78.738867,113.601791
638,77.492495,79.555925,133.329423
639,77.492495,79.095103,117.711241
640,77.492495,78.638806,128.657920
641,77.492495,80.173511,129.503998
642,77.492495,79.338344,117.559636
643,77.492495,79.108956,131.820171
644,77.492495,80.337345,128.657920
645,77.492495,79.394990,125.394280
646,77.492495,78.911107,124.751714
647,77.492495,78.601331,126.618868
648,77.492495,79.151329,125.957430
649,77.492495,79.215389,128.711414
650,77.492495,80.430374,131.820171
651,77.492495,79.675573,126.618868
652,77.492495,80.217266,129.508801
653,77.492495,79.500729,124.751714
654,77.492495,80.462527,133.329423
655,77.492495,79.488162,111.610939
656,77.492495,79.403747,129.503998
657,77.492495,78.815646,112.925449
658,77.492495,79.067207,108.604216
659,77.492495,79.732390,129.503998
660,77.492495,79.539524,120.125024
661,77.492495,78.153784,108.604216
662,77.492495,78.885646,116.209460
663,77.492495,79.143599,110.048792
664,77.492495,79.808594,125.394280
665,77.492495,80.982933,131.820171
666,77.492495,79.136351,133.329423
667,77.492495,80.760559,122.071227
668,77.492495,78.429649,100.626991
669,77.492495,80.517038,124.751714
670,77.492495,78.600695,122.071227
671,77.492495,79.187296,116.209460
672,77.492495,79.284575,137.088029
673,77.492495,79.422708,120.820235
674,77.492495,79.306611,128.657920
675,77.492495,79.362249,118.005517
676,77.492495,80.031887,129.508801
677,77.492495,78.661436,120.125024
678,77.492495,79.454506,129.503998
679,77.492495,79.408467,113.453567
680,77.492495,79.007839,124.751714
681,77.492495,78.798110,113.601791
682,77.492495,79.021282,108.007329
683,77.492495,79.481431,125.957430
684,77.492495,78.856390,98.513823
685,77.492495,79.817635,122.363841
686,77.492495,79.742474,122.071227
687,77.492495,79.513236,131.820171
688,77.492495,78.565549,120.125024
689,77.492495,79.762919,127.862798
690,77.492495,79.374310,125.957430
691,77.492495,79.470585,133.329423
692,77.492495,78.009453,113.453567
693,77.492495,79.500751,128.711414
694,77.492495,79.208983,117.816101
695,77.492495,78.981917,116.131677
696,77.492495,78.589617,118.005517
697,77.492495,80.061609,117.911588
698,77.492495,78.792137,110.048792
699,77.492495,80.528306,129.508801
700,77.492495,79.032148,137.088029
701,77.492495,79.340710,113.601791
702,77.492495,79.019811,113.164286
703,77.492495,80.036633,116.183749
704,77.492495,79.037558,117.816101
705,77.492495,78.891540,116.131677
706,77.492495,78.531596,120.125024
707,77.492495,79.457584,120.042316
708,77.492495,79.510192,125.957430
709,77.492495,79.368422,114.033444
710,77.492495,80.442439,133.329423
711,77.492495,80.786665,131.820171
712,77.492495,79.879444,129.503998
713,77.492495,78.644625,129.503998
714,77.492495,79.199087,124.751714
715,77.492495,78.876036,114.033444
716,77.492495,78.810036,121.226669
717,77.492495,80.436078,129.503998
718,77.492495,78.933139,110.048792
719,77.492495,79.174458,122.071227
720,77.492495,79.180022,128.657920
721,77.492495,78.917621,131.820171
722,77.492495,79.325662,117.816101
723,77.492495,79.499972,127.862798
724,77.492495,78.901052,112.925449
725,77.492495,79.136278,129.508801
726,77.492495,80.362026,137.088029
727,77.492495,82.480157,137.088029
728,77.492495,78.519576,126.618868
729,77.492495,78.271887,99.049441
730,77.492495,79.633473,129.503998
731,77.492495,80.421734,128.711414
732,77.492495,78.684064,126.618868
733,77.492495,79.041340,122.363841
