generation,best,mean,worst
524,77.697818,79.119382,126.053670
525,77.697818,79.559693,127.780184
526,77.697818,79.374623,126.053670
527,77.697818,79.653336,131.738670
528,77.697818,79.661889,132.787471
529,77.697818,79.129607,124.108231
530,77.697818,79.602307,126.053670
531,77.697818,79.682734,136.795177
532,77.697818,79.685696,136.795177
533,77.697818,79.744877,131.488840
534,77.697818,79.888905,131.738670
535,77.697818,79.495268,132.787471
536,77.697818,79.186573,131.488840
537,77.697818,79.339418,129.818865
538,77.697818,78.948914,131.488840
539,77.697818,79.495858,132.787471
540,77.697818,79.173893,129.818865
541,77.697818,79.065061,132.787471
542,77.697818,79.819265,125.950610
543,77.697818,79.167379,136.795177
544,77.697818,79.292539,127.780184
545,77.697818,79.549266,132.787471
546,77.697818,80.193253,132.787471
547,77.697818,79.511130,136.795177
548,77.697818,78.969849,125.950610
549,77.697818,79.804693,127.780184
550,77.697818,79.715402,136.795177
551,77.697818,80.225804,131.738670
552,77.697818,79.690395,132.787471
553,77.697818,79.842872,131.738670
554,77.697818,79.920870,132.787471
555,77.697818,80.034276,129.818865
556,77.697818,79.972562,136.795177
557,77.697818,79.409082,136.795177
558,77.697818,79.900901,136.795177
559,77.697818,79.229614,132.787471
560,77.697818,79.377824,131.738670
561,77.697818,79.469052,123.087846
562,77.697818,80.027357,132.787471
563,77.697818,79.402822,136.795177
564,77.697818,79.756375,132.787471
565,77.697818,80.400164,131.738670
566,77.697818,80.012842,136.795177
567,77.697818,79.497591,127.074412
568,77.697818,79.784115,132.787471
569,77.697818,80.240528,136.795177
570,77.697818,79.549119,129.818865
571,77.697818,80.096996,132.787471
572,77.697818,79.932290,127.780184
573,77.697818,79.060614,122.261851
574,77.697818,80.001029,127.074412
575,77.697818,79.799656,129.818865
576,77.697818,79.344565,132.787471
577,77.697818,79.554859,132.787471
578,77.697818,79.551647,136.795177
579,77.697818,79.723619,129.818865
580,77.697818,79.516367,129.818865
581,77.697818,79.794113,131.738670
582,77.697818,79.124557,127.074412
583,77.697818,79.260089,126.053670
584,77.697818,79.661386,127.371299
585,77.697818,79.503369,124.263863
586,77.697818,79.538554,136.795177
587,77.697818,79.478387,131.488840
588,77.697818,79.997615,127.780184
589,77.697818,79.921788,136.795177
590,77.697818,80.288128,136.795177
591,77.697818,79.381033,125.102866
592,77.697818,79.102400,131.488840
593,77.697818,79.787578,132.787471
594,77.697818,80.597446,136.795177
595,77.697818,79.373884,135.584842
596,77.697818,79.793824,131.738670
597,77.697818,79.734692,129.818865
598,77.697818,79.415837,132.787471
599,77.697818,79.327597,136.795177
600,77.697818,80.047179,129.818865
601,77.697818,79.907224,136.795177
602,77.697818,80.374519,136.795177
603,77.697818,79.511450,131.738670
604,77.697818,79.885543,131.738670
605,77.697818,79.549519,132.787471
606,77.697818,79.557190,126.053670
607,77.697818,79.412921,131.738670
608,77.697818,79.561617,136.795177
609,77.697818,80.405522,127.371299
610,77.697818,79.363193,131.738670
611,77.697818,78.916229,125.950610
612,77.697818,79.581624,131.738670
613,77.697818,79.247145,131.738670
614,77.697818,79.793019,136.795177
615,77.697818,79.860047,136.795177
616,77.697818,79.426084,131.738670
617,77.697818,79.729510,127.780184
618,77.697818,79.734436,136.795177
619,77.697818,78.843062,127.371299
620,77.697818,79.298267,136.795177
621,77.697818,79.397207,131.738670
622,77.697818,79.902978,131.738670
623,77.697818,79.528642,136.795177
624,77.697818,79.695638,131.488840
625,77.697818,79.315745,127.371299
626,77.697818,79.595229,132.787471
627,77.697818,79.703156,131.738670
628,77.697818,79.246852,131.738670
629,77.697818,79.602937,131.738670
630,77.697818,80.050279,127.371299
631,77.697818,80.237340,136.795177
632,77.697818,79.411640,131.738670
633,77.697818,79.401147,125.102866
634,77.697818,79.859615,132.787471
635,77.697818,79.946977,136.795177
636,77.697818,79.607783,136.795177
637,77.697818,79.276674,136.795177
638,77.697818,79.837092,136.795177
639,77.697818,80.213230,132.787471
640,77.697818,79.475609,129.818865
641,77.697818,79.722685,131.488840
642,77.697818,79.371178,124.108231
643,77.697818,79.663002,131.738670
644,77.697818,79.696114,131.738670
645,77.697818,79.506701,131.488840
646,77.697818,79.447247,127.074412
647,77.697818,79.921918,132.787471
648,77.697818,79.256514,125.102866
649,77.697818,79.572190,136.795177
650,77.697818,79.149742,136.795177
651,77.697818,80.128334,132.787471
652,77.697818,79.351332,121.008879
653,77.697818,79.279550,131.738670
654,77.697818,80.027700,131.738670
655,77.697818,79.782664,119.561614
656,77.697818,79.454305,136.795177
657,77.697818,80.083830,136.795177
658,77.697818,79.208868,125.950610
659,77.697818,79.192907,131.738670
660,77.697818,79.852890,127.780184
661,77.697818,79.550194,127.371299
662,77.697818,79.581871,126.053670
663,77.697818,79.901680,127.780184
664,77.697818,79.850734,131.738670
665,77.697818,78.866201,131.738670
666,77.697818,79.736157,136.795177
667,77.697818,79.632343,136.795177
668,77.697818,79.676709,132.787471
669,77.697818,80.138061,125.102866
670,77.697818,79.459854,131.488840
671,77.697818,79.380907,132.787471
672,77.697818,80.358339,132.787471
673,77.697818,79.434296,136.795177
674,77.697818,79.328659,132.787471
675,77.697818,79.613110,132.787471
676,77.697818,79.512734,132.787471
677,77.697818,79.477407,131.488840
678,77.697818,79.750615,131.738670
679,77.697818,79.659303,132.787471
680,77.697818,80.071922,126.053670
681,77.697818,79.738668,136.795177
682,77.697818,79.589192,129.818865
683,77.697818,80.385588,131.738670
684,77.697818,79.565305,132.787471
685,77.697818,79.890093,136.795177
686,77.697818,79.786687,131.488840
687,77.697818,79.399496,131.738670
688,77.697818,79.970279,136.795177
689,77.697818,79.524628,132.787471
690,77.697818,79.947949,129.818865
691,77.697818,79.742457,132.787471
692,77.697818,80.249451,132.787471
693,77.697818,79.653499,132.787471
694,77.697818,79.799749,127.371299
695,77.697818,79.373986,132.787471
696,77.697818,79.829132,127.074412
697,77.697818,79.476027,136.795177
698,77.697818,79.501951,132.787471
699,77.697818,79.692301,132.787471
700,77.697818,79.670252,136.795177
701,77.697818,79.129855,136.795177
702,77.697818,80.083217,136.795177
703,77.697818,79.797740,129.818865
704,77.697818,79.145873,124.263863
705,77.697818,79.306920,136.795177
706,77.697818,80.383625,136.795177
707,77.697818,80.274862,131.488840
708,77.697818,79.461091,131.738670
709,77.697818,79.436224,132.787471
710,77.697818,80.041975,132.787471
711,77.697818,80.182342,131.738670
712,77.697818,79.877980,132.787471
713,77.697818,79.424353,131.488840
714,77.697818,79.104667,132.787471
715,77.697818,79.254777,125.950610
716,77.697818,79.552683,127.074412
717,77.697818,79.548969,136.795177
718,77.697818,80.246330,132.787471
719,77.697818,79.262224,125.102866
720,77.697818,79.374669,118.769117
721,77.697818,80.152950,136.795177
722,77.697818,79.826554,132.787471
723,77.697818,79.666725,136.795177
724,77.697818,79.759280,131.738670
725,77.697818,79.802751,131.738670
726,77.697818,79.461968,131.488840
727,77.697818,79.347686,131.738670
728,77.697818,79.364432,127.780184
729,77.697818,79.776616,131.488840
730,77.697818,79.691015,136.795177
731,77.697818,79.143095,131.488840
732,77.697818,79.445135,132.787471
733,77.697818,79.241222,129.818865
734,77.697818,80.000274,136.795177
735,77.697818,79.229981,136.795177
736,77.697818,79.291917,136.795177
737,77.697818,79.467894,136.795177
738,77.697818,79.552672,127.074412
739,77.697818,80.087813,132.787471
740,77.697818,79.332391,129.818865
741,77.697818,79.638621,126.053670
742,77.697818,79.120567,136.795177
743,77.697818,79.994789,131.488840
744,77.697818,79.970052,136.795177
745,77.697818,79.675158,136.795177
746,77.697818,79.827271,127.074412
747,77.697818,79.841707,136.795177
748,77.697818,79.619108,132.787471
749,77.697818,79.390393,132.787471
750,77.697818,80.214885,132.787471
751,77.697818,79.765249,136.795177
752,77.697818,79.939702,132.787471
753,77.697818,80.205759,136.795177
754,77.697818,79.535948,132.787471
755,77.697818,79.335263,136.795177
756,77.697818,79.673436,132.787471
757,77.697818,79.121767,127.074412
758,77.697818,79.176430,132.787471
759,77.697818,79.883613,125.950610
760,77.697818,79.639639,125.102866
761,77.697818,79.846320,136.795177
762,77.697818,79.960969,136.795177
763,77.697818,79.653726,136.795177
764,77.697818,79.274348,129.818865
765,77.697818,80.080375,136.795177
766,77.697818,80.038329,132.787471
767,77.697818,79.026221,136.795177
768,77.697818,79.811035,131.738670
769,77.697818,79.449239,129.818865
770,77.697818,79.439864,127.780184
771,77.697818,79.735031,129.818865
772,77.697818,79.706750,127.074412
773,77.697818,79.805004,132.787471
774,77.697818,79.630312,129.818865
775,77.697818,79.613026,129.818865
776,77.697818,79.679698,131.488840
777,77.697818,79.511583,131.738670
778,77.697818,79.706182,136.795177
779,77.697818,79.363715,132.787471
780,77.697818,79.496307,125.102866
781,77.697818,79.142002,125.950610
782,77.697818,79.764990,131.738670
783,77.697818,79.757168,131.738670
784,77.697818,79.564144,127.371299
785,77.697818,79.397456,131.738670
786,77.697818,80.072709,132.787471
787,77.697818,79.801365,131.488840
788,77.697818,79.415492,131.738670
789,77.697818,79.610458,132.787471
790,77.697818,79.349949,121.586557
791,77.697818,79.641173,131.738670
792,77.697818,79.427916,127.074412
793,77.697818,79.594857,136.795177
794,77.697818,79.493037,125.102866
795,77.697818,79.168552,136.795177
796,77.697818,79.626346,132.787471
797,77.697818,79.618290,132.787471
798,77.697818,79.486759,132.787471
799,77.697818,79.537593,136.795177
800,77.697818,79.720293,136.795177
801,77.697818,79.716790,131.738670
802,77.697818,80.252489,136.795177
803,77.697818,79.554798,131.488840
804,77.697818,79.218466,127.371299
805,77.697818,79.392132,132.787471
806,77.697818,80.065288,129.818865
807,77.697818,79.736372,131.738670
808,77.697818,79.646265,131.738670
809,77.697818,79.662710,132.787471
810,77.697818,80.176531,136.795177
811,77.697818,79.005364,125.102866
812,77.697818,80.551148,127.780184
813,77.697818,79.910131,136.795177
814,77.697818,78.949757,129.818865
815,77.697818,80.108577,131.738670
816,77.697818,79.946200,132.787471
817,77.697818,80.306985,132.787471
818,77.697818,79.644116,125.950610
819,77.697818,79.773068,127.074412
